timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-04-21,155.5,156.94,139.8,148.4,150940.43752,1524355199999,22447754.9033859,45250,70525.2278,10494034.0416788,0
2018-04-22,148.38,153.14,144.26,146.38,84286.7952,1524441599999,12575028.7297887,27696,40274.52592,6013815.5029683,0
2018-04-23,146.38,153.67,145.8,152.56,73891.75771,1524527999999,11150207.8126644,22972,35977.88313,5430327.0025216,0
2018-04-24,152.57,166.29,152.44,164.78,172718.06809,1524614399999,27854951.3786353,45827,84898.39232,13687630.4264034,0
2018-04-25,164.23,164.79,141.85,144.75,192757.19523,1524700799999,29132512.5484067,55270,87285.46959,13175273.4445925,0
2018-04-26,144.74,154.84,142.0,153.19,98478.86456,1524787199999,14546459.9503014,26019,50985.17952,7550629.7828091,0
2018-04-27,153.19,153.8,144.44,144.9,95174.33853,1524873599999,14304916.6332068,27583,41390.55432,6223237.3623552,0
2018-04-28,145.66,153.74,144.49,152.1,80642.67696,1524959999999,12143970.520831,26844,35874.20397,5405572.4914282,0
2018-04-29,151.89,156.87,148.0,153.5,93443.5302,1525046399999,14243367.2391579,30197,43180.89659,6588840.7682315,0
2018-04-30,153.51,154.9,147.0,148.37,92445.57179,1525132799999,13941608.9401959,27153,39407.46901,5951200.9524328,0
2018-05-01,148.36,148.89,142.44,148.29,88367.51511,1525219199999,12837335.3636292,25648,39447.63151,5736377.7697886,0
2018-05-02,148.28,153.76,146.21,151.58,76486.25106,1525305599999,11423470.3660189,23551,38866.10638,5803710.7737157,0
2018-05-03,151.58,165.04,150.0,161.38,190732.67746,1525391999999,30112567.145561,52984,100030.92114,15788733.5185928,0
2018-05-04,161.17,172.1,157.1,169.44,175174.34128,1525478399999,28741709.5411218,39748,92430.78724,15146682.5547689,0
2018-05-05,169.2,184.67,168.13,179.04,226947.81755,1525564799999,40162226.1897107,56655,112812.44478,19978312.6284499,0
2018-05-06,178.86,184.98,164.8,172.32,198191.57381,1525651199999,34339687.6789242,48936,96847.82572,16787241.9817567,0
2018-05-07,172.1,172.81,157.3,164.59,170523.83579,1525737599999,27962061.8886187,41948,80242.45693,13155029.1133793,0
2018-05-08,164.52,168.66,155.05,158.89,113315.93625,1525823999999,18364526.2249747,28380,54820.93961,8903202.0932942,0
2018-05-09,159.0,160.32,150.0,156.72,96837.57036,1525910399999,15104252.6264625,26399,45851.99528,7155075.6126029,0
2018-05-10,156.75,160.9,147.22,148.16,87015.41914,1525996799999,13514823.4659391,24845,39772.28709,6162071.7475661,0
2018-05-11,148.11,148.5,132.97,136.32,147425.60375,1526083199999,20808982.5812941,40640,72444.42406,10250342.2911132,0
2018-05-12,136.32,144.47,130.32,141.57,91975.31387,1526169599999,12746995.4956026,31887,43671.58273,6061685.0290888,0
2018-05-13,141.43,146.89,136.1,144.24,89476.86723,1526255999999,12691439.0502664,26102,42342.13699,6002371.0831945,0
2018-05-14,144.19,152.95,134.19,147.42,171489.17098,1526342399999,24597937.5000752,47336,81389.22286,11696662.7703563,0
2018-05-15,147.1,149.67,136.91,139.35,105112.90271,1526428799999,15094108.7820616,33164,48010.67212,6895025.9233166,0
2018-05-16,139.34,140.86,133.5,138.92,70852.18798,1526515199999,9700453.2934643,24269,36593.17631,5008620.1106161,0
2018-05-17,138.91,141.5,131.0,132.31,58209.5848,1526601599999,7947073.0172865,19831,28947.3045,3953566.4219627,0
2018-05-18,132.07,137.49,128.0,135.95,66556.79304,1526687999999,8827432.3250056,20413,32998.53842,4376049.0258316,0
2018-05-19,135.95,137.77,132.6,134.95,37830.56861,1526774399999,5116578.0908463,14468,18377.85753,2483234.5920879,0
2018-05-20,134.89,141.0,132.5,139.64,47003.82267,1526860799999,6479741.684577,17436,23881.08067,3290835.0059001,0
2018-05-21,139.63,140.25,133.43,134.25,43516.2189,1526947199999,5933499.3017232,15840,19149.77398,2613454.235619,0
2018-05-22,134.25,136.25,127.31,127.89,41745.53907,1527033599999,5488322.5817258,17588,18960.18154,2489330.8680748,0
2018-05-23,127.9,129.35,115.83,118.37,107080.51483,1527119999999,13059496.1883638,30022,51939.63467,6344776.9354596,0
2018-05-24,118.29,124.85,114.7,122.58,79220.48706,1527206399999,9517575.3548192,24953,39740.71229,4784201.1471062,0
2018-05-25,122.65,124.58,116.63,118.87,98242.40331,1527292799999,11733268.4752952,24159,60307.70819,7196949.4752291,0
2018-05-26,118.78,122.46,117.18,118.45,121594.2696,1527379199999,14597965.932781,23328,77307.53536,9282976.1862966,0
2018-05-27,118.35,119.0,116.58,117.71,119072.15578,1527465599999,13992547.5463088,21705,78327.64511,9207848.4812556,0
2018-05-28,117.72,118.97,110.0,110.82,75142.06687,1527551999999,8624420.8184044,21684,42214.1519,4860769.5404652,0
2018-05-29,110.66,122.71,109.41,119.28,70835.89135,1527638399999,8344414.0791855,19151,37321.12903,4380892.4117945,0
2018-05-30,119.52,122.73,114.69,117.18,47541.06432,1527724799999,5657430.3361023,15293,23786.50339,2826183.4534362,0
2018-05-31,117.18,121.01,116.04,118.25,55831.28616,1527811199999,6646626.5351379,15845,24987.15427,2974683.8155761,0
2018-06-01,118.25,120.4,116.62,120.19,51605.41534,1527897599999,6128372.2864044,12473,28886.23348,3435489.8539412,0
2018-06-02,120.19,124.5,118.66,123.44,45059.33298,1527983999999,5504755.4425296,14573,23033.02968,2813400.542538,0
2018-06-03,123.44,127.98,122.23,125.33,52884.48398,1528070399999,6636628.9044011,18072,25367.27891,3182076.1832501,0
2018-06-04,125.07,127.01,118.0,119.77,59686.2455,1528156799999,7227010.0950593,16492,28557.42338,3454176.9575625,0
2018-06-05,119.77,122.6,115.77,122.18,48879.6275,1528243199999,5823546.8693892,16679,25616.71169,3054656.0344977,0
2018-06-06,122.2,122.94,118.0,121.61,36817.66091,1528329599999,4450435.1276919,13302,17837.08893,2158544.1363092,0
2018-06-07,121.63,123.84,119.4,121.54,39573.29608,1528415999999,4812926.9252882,15223,20694.80961,2515083.7029527,0
2018-06-08,121.56,122.18,118.04,119.68,28982.19754,1528502399999,3468451.5544842,10223,13445.89325,1610132.9623961,0
2018-06-09,119.9,120.93,116.7,117.4,17060.66336,1528588799999,2035221.8030919,8081,6163.58096,735969.9904374,0
2018-06-10,117.25,117.47,102.75,106.48,88683.19352,1528675199999,9692900.3365471,26149,38586.09165,4204566.7790273,0
2018-06-11,106.5,108.42,102.7,107.2,56836.22735,1528761599999,6006747.920507,18424,27953.52898,2955049.2887454,0
2018-06-12,107.2,107.86,94.05,99.68,73444.59887,1528847999999,7540691.1212508,20716,36649.90414,3758258.8920908,0
2018-06-13,99.68,100.45,86.71,93.37,168148.05693,1528934399999,15894051.7971939,34592,88195.79704,8365073.8542061,0
2018-06-14,93.4,102.87,91.65,100.88,177889.85806,1529020799999,17309706.9493822,36543,105891.71719,10296484.5979098,0
2018-06-15,100.89,100.98,94.49,95.5,155895.24619,1529107199999,15253287.6609214,29482,94353.88558,9242796.9070704,0
2018-06-16,95.5,97.58,92.68,96.66,130013.99526,1529193599999,12447952.5384872,25038,81715.89951,7821400.3638143,0
2018-06-17,96.65,98.2,94.51,94.95,119733.09263,1529279999999,11542696.5672782,24087,76678.55288,7392038.3872882,0
2018-06-18,94.95,99.88,92.89,98.7,161804.46253,1529366399999,15517726.7643408,31156,95013.38746,9089352.5444485,0
